user_id	item_id	recommend	review	year	Sentiment_Score	idioma
76561198097450390	4000	True	11/10	2015.0	2	No detectado
76561198107928649	4000	False	♥♥♥♥ all ♥♥♥♥	2015.0	2	No detectado
mainkradxdxdx	304930	True	Es una kaka ekizdedededed ed e de de xd XDX DXDXXDDX DXDxd XD xDX DXDxd xdx( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°)	Sin dato	1	No detectado
76561198115099755	211820	True	♥♥♥♥!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1	2015.0	2	No detectado
DrMolo	730	True	10/10	Sin dato	2	No detectado
LapFucksTrax	211820	True	𝖳𝖾𝗋𝗋𝖺𝗋𝗂𝖺 𝖻𝗎𝗍 𝗇𝗈𝗍 𝗌𝗁𝗂𝗍.	2015.0	1	No detectado
matt20131	440	True	♥♥♥♥	Sin dato	2	No detectado
Mrawes0m3	391540	True	10/10	Sin dato	2	No detectado
76561198094830975	730	True	♥♥♥♥	Sin dato	2	No detectado
LeBovin	730	True	♥♥♥♥ ♥♥♥♥♥!	Sin dato	2	No detectado
76561198060072424	304930	True	:333333333333333333333333333333333333333	2014.0	2	No detectado
Rambo1061	301520	True	10/10	2015.0	2	No detectado
IrishNZ	33230	True	10/10	2015.0	2	No detectado
Bhulb	222980	True	".......................,,-~*~,, ......................./:.:.:.:.:.| ......................|;.;.;.;.;./ ......................|.;.;.;.;.| ............._,,,,,_.).;.;.;.;.| .........,,-"":.:.:.:.""~-,;.;.;.| ........(_,,,,---,,_:.:.);.;.;.."",, ......,-"":.:.:.:.:.""""-,,/;.;.;.;.;."", .....(:.__,,,,,,,,,___);.;.;.;.;.;| ...../"""":.:.:.:.:.:.:¯""""\;.;.;.;.;.,"" ....\"",__,,,,,,,,,,,__/;;;;;;;;;/\ .....\.::.:.:.:.:.:.:.;.);;;;;;;;;/:\ .......\,,,,,---~~~~;;;;;;;;,""::::\ ..........""""""~~--,,,,,,,,,,-""::::::::::\ ...................\::::::::::::::::::::::"	2014.0	1	No detectado
2ZESTY4ME	218230	False	    ,	2013.0	1	No detectado
76561198055604266	291480	True	─────────▄──────────────▄────────▌▒█───────────▄▀▒▌────────▌▒▒▀▄───────▄▀▒▒▒▐───────▐▄▀▒▒▀▀▀▀▄▄▄▀▒▒▒▒▒▐─────▄▄▀▒▒▒▒▒▒▒▒▒▒▒█▒▒▄█▒▐───▄▀▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▀██▀▒▌──▐▒▒▒▄▄▄▒▒▒▒▒▒▒▒▒▒▒▒▒▀▄▒▒▌──▌▒▒▐▄█▀▒▒▒▒▄▀█▄▒▒▒▒▒▒▒█▒▐─▐▒▒▒▒▒▒▒▒▒▒▒▌██▀▒▒▒▒▒▒▒▒▀▄▌─▌▒▀▄██▄▒▒▒▒▒▒▒▒▒▒▒░░░░▒▒▒▒▌─▌▀▐▄█▄█▌▄▒▀▒▒▒▒▒▒░░░░░░▒▒▒▐▐▒▀▐▀▐▀▒▒▄▄▒▄▒▒▒▒▒░░░░░░▒▒▒▒▌▐▒▒▒▀▀▄▄▒▒▒▄▒▒▒▒▒▒░░░░░░▒▒▒▐─▌▒▒▒▒▒▒▀▀▀▒▒▒▒▒▒▒▒░░░░▒▒▒▒▌─▐▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▐──▀▄▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▄▒▒▒▒▌────▀▄▒▒▒▒▒▒▒▒▒▒▄▄▄▀▒▒▒▒▄▀───▐▀▒▀▄▄▄▄▄▄▀▀▀▒▒▒▒▒▄▄▀──▐▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▀▀	2015.0	1	No detectado
mrpoo2	261980	False	♥♥♥♥	2014.0	2	No detectado
TheKazimir	202970	True	Great campaign and great multiplayer. Try to get it at at a game  store for a cheaper price!★░░░░░░░░░░░████░░░░░░░░░░░░░░░░░░░░★ ★░░░░░░░░░███░██░░░░░░░░░░░░░░░░░░░░★ ★░░░░░░░░░██░░░█░░░░░░░░░░░░░░░░░░░░★ ★░░░░░░░░░██░░░██░░░░░░░░░░░░░░░░░░░★ ★░░░░░░░░░░██░░░███░░░░░░░░░░░░░░░░░★ ★░░░░░░░░░░░██░░░░██░░░░░░░░░░░░░░░░★ ★░░░░░░░░░░░██░░░░░███░░░░░░░░░░░░░░★ ★░░░░░░░░░░░░██░░░░░░██░░░░░░░░░░░░░★ ★░░░░░░░███████░░░░░░░██░░░░░░░░░░░░★ ★░░░░█████░░░░░░░░░░░░░░███░██░░░░░░★ ★░░░██░░░░░████░░░░░░░░░░██████░░░░░★ ★░░░██░░████░░███░░░░░░░░░░░░░██░░░░★ ★░░░██░░░░░░░░███░░░░░░░░░░░░░██░░░░★ ★░░░░██████████░███░░░░░░░░░░░██░░░░★ ★░░░░██░░░░░░░░████░░░░░░░░░░░██░░░░★ ★░░░░███████████░░██░░░░░░░░░░██░░░░★ ★░░░░░░██░░░░░░░████░░░░░██████░░░░░★ ★░░░░░░██████████░██░░░░███░██░░░░░░★ ★░░░░░░░░░██░░░░░████░███░░░░░░░░░░░★ ★░░░░░░░░░█████████████░░░░░░░░░░░░░★ ★░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░★	Sin dato	1	No detectado
usaidwotnow	22350	False	♥♥♥♥♥♥♥ ♥♥♥♥	2014.0	2	No detectado
gesbhsfbgufbyudguesvyfy	220	True	░░░░░▐▀█▀▌░░░░▀█▄░░░░░░░░▐█▄█▌░░░░░░▀█▄░░░░░░░░▀▄▀░░░▄▄▄▄▄▀▀░░░░░░▄▄▄██▀▀▀▀░░░░░░░░░░█▀▄▄▄█░▀▀░░░░░▌░▄▄▄▐▌▀▀▀░░ THIS IS BOB▄░▐░░░▄▄░█░▀▀ ░░▀█▌░░░▄░▀█▀░▀ ░░ COPY AND PASTE HIM,░░░░░░░▄▄▐▌▄▄░░░ SO, HE CAN TAKE░░░░░░░▀███▀█░▄░░ OVER STEAM░░░░░░▐▌▀▄▀▄▀▐▄░░ AND THAT, WILL TELL VALVE░░░░░░▐▀░░░░░░▐▌░░ TO GIVE US HALF LIFE 3░░░░░░█░░░░░░░░█░░░	2014.0	1	No detectado
meeeedie	730	True	:^)	2015.0	1	No detectado
76561198071738809	550	True	5555	2013.0	2	No detectado
76561198071738809	17580	True	555	2013.0	2	No detectado
76561198071738809	224260	True	55555+	2013.0	2	No detectado
76561198073085657	282440	False	♥♥♥♥ing ♥♥♥♥	2015.0	2	No detectado
Natty22	730	True	<3	2015.0	1	No detectado
FagGamingM8	252950	True	10/10	Sin dato	2	No detectado
76561198041562431	730	True	♥♥♥♥ ♥♥♥♥♥!	Sin dato	2	No detectado
76561198058473246	244850	True	10/10	2014.0	2	No detectado
76561198069603865	252490	True	░█▀▀░█░░█░█▀█░█▀▀░█▀█░▀▀█░█░░█░█▀▀░█▀▀░█▀▄░▀▀▀░▀▀▀▀░▀░░░▀▀▀░▀░ ▀░█▄░▄█░█▀▀░█▀▀▀░ █▀█░█░█░█░█▀▀░█░▀▄░█▀▀█░▀░░░▀░▀▀▀░▀▀▀▀░▀░░▀░█▀▀ ░█▀█ ░█ ░█▀▀░█▀▀ ░█▀▀ ░█ ░█░▀▀▀ ░▀ ░░░▀ ░▀▀▀░░░░░░░░░░░████░░░░░░░░░██░░░███████▄▄█░░░░░██▄▄▓▓▓▓██░░░ Valve, ░░░░█▓▓▓▓▓█░░░ Please Add░█▓▓▓▓▓█░░░And Give ░░░█▓▓▓▓▓█░░░Me One ░░░█	2014.0	1	No detectado
PigdogGetSome	250400	True	.	2015.0	1	No detectado
Pixelqt	226700	False	░░░░░░░░░░░█▀▀░░█░░░░░░░░░░░░▄▀▀▀▀░░░░░█▄▄░░░░░░░░░░█░█░░░░░░░░░░▐░░░ ░░░░░░▐▐░░░░░░░░░▄░▐░░░░░░░░░█░░░░░░░░▄▀▀░▐░░░ ░░░░▄▀░░░░░░░░▐░▄▄▀░░░░ ░░▄▀░░░▐░░░░░█▄▀░▐░░░░░ ░░█░░░▐░░░░░░░░▄░█░░░░░ ░░░█▄░░▀▄░░░░▄▀▐░█░░░░░ ░░░█▐▀▀▀░▀▀▀▀░░▐░█░░░░░ ░░▐█▐▄░░▀░░░░░░▐░█▄▄░░░ ░░░▀▀▄Infestation▄ ░▄▄▄▀░░░░░░░░░░░░░░░░░░░░░░░░░░	Sin dato	1	No detectado
TheMightyWharu	271590	False	♥♥♥♥ing ♥♥♥♥	2015.0	2	No detectado
76561198063159016	730	True	10/10 - ♥♥♥♥ ♥♥♥♥♥	2015.0	2	No detectado
76561198061679549	570	True	♥♥♥♥	2014.0	2	No detectado
babyrainbowdash	230410	True	5555	2014.0	2	No detectado
ALECLIKESSHOTASANDLITTLECUTEBOYS	333600	True	from what i now is that nekopara is from a hentai site..........it was interesting ( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°) also press P to get something	2015.0	1	No detectado
Shredderman962	370100	False	░░░░░░░░░░░█▀▀░░█░░░░░░░░░░░░▄▀▀▀▀░░░░░█▄▄░░░░░░░░░░█░█░░░░░░░░░░▐░░░ ░░░░░░▐▐░░░░░░░░░▄░▐░░░░░░░░░█░░░░░░░░▄▀▀░▐░░░ ░░░░▄▀░░░░░░░░▐░▄▄▀░░░░ ░░▄▀░░░▐░░░░░█▄▀░▐░░░░░ ░░█░░░▐░░░░░░░░▄░█░░░░░ ░░░█▄░░▀▄░░░░▄▀▐░█░░░░░ ░░░█▐▀▀▀░▀▀▀▀░░▐░█░░░░░ ░░▐█▐▄░░▀░░░░░░▐░█▄▄░░░ ░░░▀▀░▄Uncrowded ▄▐▄▄▄▀░░░░░░░░░░░░░░░░░░░░░░░░░░	Sin dato	1	No detectado
Shredderman962	47790	False	░░░░░░░░░░░█▀▀░░█░░░░░░░░░░░░▄▀▀▀▀░░░░░█▄▄░░░░░░░░░░█░█░░░░░░░░░░▐░░░ ░░░░░░▐▐░░░░░░░░░▄░▐░░░░░░░░░█░░░░░░░░▄▀▀░▐░░░ ░░░░▄▀░░░░░░░░▐░▄▄▀░░░░ ░░▄▀░░░▐░░░░░█▄▀░▐░░░░░ ░░█░░░▐░░░░░░░░▄░█░░░░░ ░░░█▄░░▀▄░░░░▄▀▐░█░░░░░ ░░░█▐▀▀▀░▀▀▀▀░░▐░█░░░░░ ░░▐█▐▄░░▀░░░░░░▐░█▄▄░░░ ░░░▀▀░▄ EA░░▄░░░▐▄▄▄▀░░░░░░░░░░░░░░░░░░░░░░░░░░	Sin dato	1	No detectado
ethanabey	8870	True	10/10	2013.0	2	No detectado
smNTC	730	True	123	Sin dato	2	No detectado
FrostyByte	295110	True	10/10	2015.0	2	No detectado
76561198103243648	239070	True	:)	2015.0	1	No detectado
H-O-B-O	264380	True	;_;	2014.0	1	No detectado
76561198097591088	333930	True	...	2015.0	1	No detectado
2011368123	206440	True	10/10	2014.0	2	No detectado
tyranidmaster	301520	True	...	2014.0	1	No detectado
Dagonlevel5	264380	True	<3	2015.0	1	No detectado
dabdabdabdab	440	True	─█────█─█──█────█────█────█─█──█─█────█─█▀▀█────█─▄▄─█────█─█──█─▀▄▄▄▄▀─█──█────▀▄▄█─▀▄▄▄▄▀─█▄▄▀─────────▄██████▀▀▀▀▀▀▄─────▄█████████▄───────▀▀▄▄──▄█████████████───────────▀▀▄▄██████████████─▄▀───▀▄─▀▄▄▄──▀▄███████████████──▄▀─▀▄▄▄▄▄▄────██████████████████▀█──▄█▄▄▄──────████████████──█▀█──▀▄─█─█─█───────█████████████████───▀█─▀██▄▄──────██████████████████──▄─▀█▄─────▄───██████████████████▀███▀▀─▀▄────█──█████████████████──────────█──▄▀──█████████████████▄▀▀▀▀▀▀▄──█──────█████████████████▀▀▀▀▀▀▀▄──█──────█▀████████████████▀▀▀▀▀▀──────────█──███████████████▀▀─────█──────▄▀──▀█████████████────────█────▄▀────▀████████████▄───▄▄█▀─▄█▀──────▀████████████▀▀▀──▄███──────████████████████████─█─────████████████████████──█────████████████████████───█────██████████████████─────█────██████████████████─────█────██████████████████─────█────██████████████████─────█────██████████████████▄▄▄▄▄█─────────────█─────█─█──█─█───█─────────────█─────█─█──█─▀█─█▀─────────────█─▄█▄─█─█▀▀█──▀█▀─────────────██▀─▀██─█──█───█	Sin dato	1	No detectado
VoxMaro	231310	True	???????????????	2014.0	1	No detectado
76561198094665607	4000	True	:)	Sin dato	1	No detectado
